 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 15   # Spanwise =100     First strip =  1
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.20830     Clsurf  =  -0.04283
     CYsurf  =  -0.00678     Cmsurf  =  -1.24632
     CDsurf  =   0.00215     Cnsurf  =   0.00316
     CDisurf =   0.00215     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.41665     CDsurf  =   0.00430
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     CLsurf  =   0.00836     Clsurf  =  -0.00074
     CYsurf  =  -0.00338     Cmsurf  =  -0.05293
     CDsurf  =   0.00020     Cnsurf  =   0.00118
     CDisurf =   0.00020     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06220     CDsurf  =   0.00137
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   201   2.5933   3.0000   3.8397   0.2515   0.0358   0.0839   0.0839   0.0010   0.0000  -0.0530  -0.0739    0.882
   202   3.7798   3.0000   3.8397   0.2954   0.0273   0.0985   0.0985   0.0011   0.0000  -0.0591  -0.0837    0.850
   203   4.9662   3.0000   3.8397   0.3004   0.0229   0.1002   0.1002   0.0011   0.0000  -0.0595  -0.0845    0.844
   204   6.1528   3.0000   3.8397   0.2928   0.0201   0.0976   0.0976   0.0011   0.0000  -0.0587  -0.0831    0.851
   205   7.3393   3.0000   3.8397   0.2814   0.0183   0.0938   0.0938   0.0011   0.0000  -0.0577  -0.0812    0.865
   206   8.5258   3.0000   3.8397   0.2702   0.0170   0.0901   0.0901   0.0011   0.0000  -0.0568  -0.0793    0.880
   207   9.7122   3.0000   3.8397   0.2614   0.0160   0.0872   0.0872   0.0011   0.0000  -0.0559  -0.0777    0.891
   208  10.8988   3.0000   3.8397   0.2570   0.0153   0.0857   0.0857   0.0011   0.0000  -0.0551  -0.0765    0.893
   209  12.0852   3.0000   3.8397   0.2590   0.0150   0.0864   0.0864   0.0011   0.0000  -0.0542  -0.0758    0.878
   210  13.2717   3.0000   3.8397   0.2700   0.0158   0.0900   0.0900   0.0010   0.0000  -0.0532  -0.0757    0.841
   211  14.4582   3.0000   3.8397   0.2903   0.0190   0.0968   0.0968   0.0008   0.0000  -0.0515  -0.0757    0.782
   212  15.6447   3.0000   3.8397   0.3091   0.0245   0.1030   0.1030   0.0005   0.0000  -0.0489  -0.0747    0.725
   213  16.8312   3.0000   3.8397   0.2921   0.0258   0.0974   0.0974   0.0005   0.0000  -0.0469  -0.0712    0.731
   214  18.0177   3.0000   3.8398   0.2232   0.0192   0.0744   0.0744   0.0010   0.0000  -0.0458  -0.0644    0.865
   215  19.2043   3.0000   3.8397   0.1346   0.0125   0.0449   0.0449   0.0015   0.0000  -0.0438  -0.0550    1.226
   216  20.3907   3.0000   3.8397   0.0494   0.0085   0.0165   0.0165   0.0019   0.0000  -0.0409  -0.0450    0
   217  21.5772   3.0000   3.8397  -0.0251   0.0057  -0.0083  -0.0083   0.0022   0.0000  -0.0377  -0.0356    0
   218  22.7638   3.0000   3.8397  -0.0825   0.0036  -0.0275  -0.0275   0.0025   0.0000  -0.0348  -0.0280    0
   219  23.9503   3.0000   3.8397  -0.1103   0.0034  -0.0367  -0.0367   0.0027   0.0000  -0.0324  -0.0232   -0.633
   220  25.1367   3.0000   3.8397  -0.0896   0.0086  -0.0298  -0.0298   0.0028   0.0000  -0.0286  -0.0211   -0.708

  Surface # 4     Strut (YDUP)                            
     # Chordwise =  7   # Spanwise = 20     First strip =221
     Surface area =   76.794899       Ave. chord =    3.000000
     CLsurf  =   0.00836     Clsurf  =   0.00074
     CYsurf  =   0.00338     Cmsurf  =  -0.05293
     CDsurf  =   0.00020     Cnsurf  =  -0.00118
     CDisurf =   0.00020     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06220     CDsurf  =   0.00137
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   221  -2.5933   3.0000   3.8397   0.2515   0.0358   0.0839   0.0839   0.0010   0.0000  -0.0530   0.0739    0.882
   222  -3.7798   3.0000   3.8397   0.2954   0.0273   0.0985   0.0985   0.0011   0.0000  -0.0591   0.0837    0.850
   223  -4.9662   3.0000   3.8397   0.3004   0.0229   0.1002   0.1002   0.0011   0.0000  -0.0595   0.0845    0.844
   224  -6.1528   3.0000   3.8397   0.2928   0.0201   0.0976   0.0976   0.0011   0.0000  -0.0587   0.0831    0.851
   225  -7.3393   3.0000   3.8397   0.2814   0.0183   0.0938   0.0938   0.0011   0.0000  -0.0577   0.0812    0.865
   226  -8.5258   3.0000   3.8397   0.2702   0.0170   0.0901   0.0901   0.0011   0.0000  -0.0568   0.0793    0.880
   227  -9.7122   3.0000   3.8397   0.2614   0.0160   0.0872   0.0872   0.0011   0.0000  -0.0559   0.0777    0.891
   228 -10.8988   3.0000   3.8397   0.2570   0.0153   0.0857   0.0857   0.0011   0.0000  -0.0551   0.0765    0.893
   229 -12.0852   3.0000   3.8397   0.2590   0.0150   0.0864   0.0864   0.0011   0.0000  -0.0542   0.0758    0.878
   230 -13.2717   3.0000   3.8397   0.2700   0.0158   0.0900   0.0900   0.0010   0.0000  -0.0532   0.0757    0.841
   231 -14.4582   3.0000   3.8397   0.2903   0.0190   0.0968   0.0968   0.0008   0.0000  -0.0515   0.0757    0.782
   232 -15.6447   3.0000   3.8397   0.3091   0.0245   0.1030   0.1030   0.0005   0.0000  -0.0489   0.0747    0.725
   233 -16.8312   3.0000   3.8397   0.2921   0.0258   0.0974   0.0974   0.0005   0.0000  -0.0469   0.0712    0.731
   234 -18.0177   3.0000   3.8398   0.2232   0.0192   0.0744   0.0744   0.0010   0.0000  -0.0458   0.0644    0.865
   235 -19.2043   3.0000   3.8397   0.1346   0.0125   0.0449   0.0449   0.0015   0.0000  -0.0438   0.0550    1.226
   236 -20.3907   3.0000   3.8397   0.0494   0.0085   0.0165   0.0165   0.0019   0.0000  -0.0409   0.0450    0
   237 -21.5772   3.0000   3.8397  -0.0251   0.0057  -0.0083  -0.0083   0.0022   0.0000  -0.0377   0.0356    0
   238 -22.7638   3.0000   3.8397  -0.0825   0.0036  -0.0275  -0.0275   0.0025   0.0000  -0.0348   0.0280    0
   239 -23.9503   3.0000   3.8397  -0.1103   0.0034  -0.0367  -0.0367   0.0027   0.0000  -0.0324   0.0232   -0.633
   240 -25.1367   3.0000   3.8397  -0.0896   0.0086  -0.0298  -0.0298   0.0028   0.0000  -0.0286   0.0211   -0.708
 ---------------------------------------------------------------
